date,daily,cumul,pfizer,sinovac,astra,sinopharm
2021-02-24,69,69,66,2,0,0
2021-02-25,1152,1221,1147,2,0,0
2021-02-26,4116,5337,4106,2,1,0
2021-02-27,6728,12065,6701,6,0,0
2021-02-28,6726,18791,6718,4,0,0
2021-03-01,15403,34194,15395,2,0,0
2021-03-02,21690,55884,21688,2,0,0
2021-03-03,22692,78576,22683,4,0,0
2021-03-04,19528,98104,19514,7,0,0
2021-03-05,14379,112483,14372,4,0,0
2021-03-06,15852,128335,15605,204,0,0
2021-03-07,12614,140949,12597,5,0,0
2021-03-08,27225,168174,27206,17,0,0
2021-03-09,30133,198307,30045,85,0,0
2021-03-10,28788,227095,28778,5,1,0
2021-03-11,26524,253619,26514,5,0,0
2021-03-12,26137,279756,26129,6,0,0
2021-03-13,17067,296823,17058,2,0,0
2021-03-14,10318,307141,10314,4,0,0
2021-03-15,20400,327541,20187,2,0,0
2021-03-16,25489,353030,25370,3,0,0
2021-03-17,20866,373896,20860,5,0,0
2021-03-18,18113,392009,18097,14,0,0
2021-03-19,14579,406588,14577,2,0,0
2021-03-20,13816,420404,13811,2,0,0
2021-03-21,15570,435974,15558,3,0,0
2021-03-22,24299,460273,24293,3,0,0
2021-03-23,29187,489460,29179,3,0,0
2021-03-24,29125,518585,29119,2,0,0
2021-03-25,25808,544393,25717,83,0,0
2021-03-26,16757,561150,16567,172,0,0
2021-03-27,16153,577303,15668,481,0,0
2021-03-28,16627,593930,16334,276,0,0
2021-03-29,35252,629182,33684,1556,0,0
2021-03-30,40955,670137,38788,2160,0,0
2021-03-31,37479,707616,34107,3347,0,0
2021-04-01,42480,750096,37744,4703,0,0
2021-04-02,30488,780584,26826,3658,0,0
2021-04-03,17431,798015,16267,1147,0,0
2021-04-04,15205,813220,12323,2813,0,0
2021-04-05,28710,841930,23518,4985,0,0
2021-04-06,32734,874664,28168,4452,0,0
2021-04-07,31057,905721,24782,6272,0,0
2021-04-08,26907,932628,20671,6232,0,0
2021-04-09,21629,954257,18739,2886,0,0
2021-04-10,15749,970006,13887,1861,0,0
2021-04-11,23200,993206,20933,2266,0,0
2021-04-12,39340,1032546,36548,2791,0,0
2021-04-13,24522,1057068,19825,4695,1,0
2021-04-14,28702,1085770,25280,3422,0,0
2021-04-15,27278,1113048,23017,4260,0,0
2021-04-16,19560,1132608,16195,3364,0,0
2021-04-17,9692,1142300,7686,2005,0,0
2021-04-18,9932,1152232,8964,965,0,0
2021-04-19,33174,1185406,30108,3060,1,0
2021-04-20,33386,1218792,27877,5505,0,0
2021-04-21,27734,1246526,22709,5018,0,0
2021-04-22,29590,1276116,24079,5499,0,0
2021-04-23,18923,1295039,15037,3882,0,0
2021-04-24,11482,1306521,9602,1785,0,0
2021-04-25,14855,1321376,12286,2568,0,0
2021-04-26,30323,1351699,25117,5206,0,0
2021-04-27,34728,1386427,28772,5954,0,0
2021-04-28,39748,1426175,31303,8442,0,0
2021-04-29,12542,1438717,9512,3030,0,0
2021-04-30,26722,1465439,22985,3736,0,0
2021-05-01,5507,1470946,4920,586,0,0
2021-05-02,15785,1486731,13993,1791,0,0
2021-05-03,51299,1538030,45059,5520,720,0
2021-05-04,49853,1587883,42368,7483,2,0
2021-05-05,55069,1642952,41934,8514,4619,0
2021-05-06,55901,1698853,40104,12202,3595,0
2021-05-07,47875,1746728,28696,15588,3589,0
2021-05-08,27176,1773904,19473,4044,3656,0
2021-05-09,32543,1806447,23183,5746,3611,0
2021-05-10,61644,1868091,48028,10046,3567,0
2021-05-11,49023,1917114,38145,7219,3659,0
2021-05-12,18185,1935299,12975,1740,3470,0
2021-05-13,124,1935423,6,118,0,0
2021-05-14,70,1935493,1,69,0,0
2021-05-15,11010,1946503,1039,159,9811,0
2021-05-16,10384,1956887,215,139,10030,0
2021-05-17,60751,2017638,46793,3426,10530,0
2021-05-18,78310,2095948,60678,7068,10562,0
2021-05-19,84439,2180387,62710,11132,10591,0
2021-05-20,81379,2261766,53791,16451,11130,0
2021-05-21,61221,2322987,37394,12738,11087,0
2021-05-22,46752,2369739,16610,20561,9465,0
2021-05-23,46513,2416252,19430,16471,10601,0
2021-05-24,95975,2512227,50185,32370,13416,0
2021-05-25,100756,2612983,51683,35741,13323,0
2021-05-26,22474,2635457,4278,4421,13774,0
2021-05-27,108660,2744117,60769,34496,13382,0
2021-05-28,74645,2818762,33350,27813,13477,0
2021-05-29,66265,2885027,30131,22546,13580,0
2021-05-30,62900,2947927,26928,22622,13349,0
2021-05-31,96448,3044375,48989,33848,13606,0
2021-06-01,100024,3144399,52010,33928,14073,0
2021-06-02,107041,3251440,44291,48178,14555,0
2021-06-03,119410,3370850,42185,62381,14825,0
2021-06-04,91528,3462378,30349,45332,15836,0
2021-06-05,73690,3536068,35553,22811,15306,0
2021-06-06,82868,3618936,40196,28597,14054,0
2021-06-07,65988,3684924,14879,32822,18274,0
2021-06-08,155076,3840000,92671,41676,20667,0
2021-06-09,157247,3997247,93096,48166,15959,0
2021-06-10,161407,4158654,85037,54671,21686,0
2021-06-11,126749,4285403,49709,52304,24433,0
2021-06-12,137744,4423147,54686,62312,20602,0
2021-06-13,132098,4555245,55724,54581,21741,0
2021-06-14,204106,4759351,80218,98762,25065,0
2021-06-15,223495,4982846,84008,114688,24457,0
2021-06-16,214734,5197580,74265,116345,23895,0
2021-06-17,229730,5427310,78562,125274,25760,0
2021-06-18,185986,5613296,55476,105022,25277,0
2021-06-19,172327,5785623,68383,83986,19869,0
2021-06-20,146828,5932451,46394,81349,19022,0
2021-06-21,246053,6178504,72951,146892,25817,2
2021-06-22,260409,6438913,79241,157494,23603,0
2021-06-23,265706,6704619,74088,168351,23000,0
2021-06-24,277989,6982608,70621,184177,23063,0
2021-06-25,223264,7205872,55235,146036,21961,0
2021-06-26,199224,7405096,68533,112046,18348,0
2021-06-27,178082,7583178,60992,100534,16480,0
2021-06-28,210310,7793488,53326,135943,20855,1
2021-06-29,244516,8038004,80546,142833,21002,0
2021-06-30,270989,8308993,86472,163096,21324,0
2021-07-01,270427,8579420,75013,173962,21428,0
2021-07-02,241055,8820475,58393,160545,22037,0
2021-07-03,224329,9044804,64848,140763,18637,0
2021-07-04,216031,9260835,69870,127110,18955,0
2021-07-05,328237,9589072,88801,216956,22363,0
2021-07-06,356581,9945653,95934,238694,21822,0
2021-07-07,395648,10341301,103033,266482,25958,0
2021-07-08,390866,10732167,99453,266292,24996,0
2021-07-09,350771,11082938,84412,240809,25389,0
2021-07-10,336729,11419667,101330,213364,21993,0
2021-07-11,298363,11718030,88283,188212,21830,0
2021-07-12,435236,12153266,120526,290007,24552,0
2021-07-13,440248,12593514,116968,301013,22144,0
2021-07-14,459672,13053186,122113,313003,24413,0
2021-07-15,479436,13532622,138007,317845,23440,0
2021-07-16,418351,13950973,128060,267408,22685,0
2021-07-17,397816,14348789,132375,236840,28073,0
2021-07-18,356973,14705762,123559,204198,28895,0
2021-07-19,443685,15149447,168919,242801,31699,1
2021-07-20,312225,15461672,83388,199742,29025,0
2021-07-21,459998,15921670,156808,272403,30492,0
2021-07-22,520601,16442271,204033,285193,31321,1
2021-07-23,479603,16921874,180753,268333,30426,0
2021-07-24,433882,17355756,175732,231321,26718,0
2021-07-25,417847,17773603,165208,224052,28473,0
2021-07-26,538836,18312439,227508,280065,31152,0
2021-07-27,572930,18885369,253121,288316,31367,0
2021-07-28,583165,19468534,245263,312056,25715,0
2021-07-29,582158,20050692,255158,299918,26978,0
2021-07-30,536621,20587313,211915,296463,28134,1
2021-07-31,544669,21131982,220260,296557,27325,0
2021-08-01,496530,21628512,205311,265533,25620,0
2021-08-02,489637,22118149,228873,243572,17079,0
2021-08-03,505496,22623645,247883,240081,17332,0
2021-08-04,516830,23140475,258590,240077,18057,0
2021-08-05,539434,23679909,264376,256905,18021,0
2021-08-06,471802,24151711,219350,223066,29346,0
2021-08-07,452734,24604445,199532,216234,36877,0
2021-08-08,412386,25016831,173891,200367,38090,0
2021-08-09,488778,25505609,227747,203402,57518,0
2021-08-10,379295,25884904,147105,179075,52719,0
2021-08-11,520372,26405276,224539,236382,59386,0
2021-08-12,553103,26958379,251821,242343,58832,0
2021-08-13,497822,27456201,200473,247541,49618,0
2021-08-14,471828,27928029,185362,240109,46193,0
2021-08-15,440899,28368928,166092,234203,40211,0
2021-08-16,527243,28896171,220336,261476,45299,0
2021-08-17,550253,29446424,234332,272302,43489,0
2021-08-18,573032,30019456,220622,309143,43139,0
2021-08-19,549956,30569412,228694,277493,43684,0
2021-08-20,515738,31085150,233663,247312,34646,1
2021-08-21,502199,31587349,234974,237314,29833,0
2021-08-22,466270,32053619,230548,207787,27853,0
2021-08-23,419780,32473399,258650,123888,37210,0
2021-08-24,447583,32920982,288488,123609,35408,0
2021-08-25,452668,33373650,300916,118523,33201,0
2021-08-26,440639,33814289,281287,122371,34767,0
2021-08-27,378418,34192707,230371,114531,32082,0
2021-08-28,374512,34567219,212520,123607,31356,0
2021-08-29,333388,34900607,187638,108993,28969,0
2021-08-30,392882,35293489,253466,103146,31960,0
2021-08-31,288075,35581564,174655,81042,29741,0
2021-09-01,431785,36013349,264335,130354,33907,0
2021-09-02,405434,36418783,247506,119274,34817,0
